Core: testbench_ls_ddr2_ram_p0 - Instance: u0|ddr2_ram_1
Path, Setup Margin, Hold Margin
"Address Command (Slow 900mV 85C Model)",0.177,0.584
"Bus Turnaround Time (Slow 900mV 85C Model)",5.427,--
"Core (Slow 900mV 85C Model)",0.183,0.176
"Core Recovery/Removal (Slow 900mV 85C Model)",0.235,0.459
"Read Capture (Slow 900mV 85C Model)",0.292,0.244
"Read Resync (Slow 900mV 85C Model)",2.988,5.518
"Write (Slow 900mV 85C Model)",0.14,0.14
"Write Leveling tDQSS (Slow 900mV 85C Model)",0.571,0.571
"Write Leveling tDSS/tDSH (Slow 900mV 85C Model)",0.624,0.624
"Address Command (Slow 900mV 0C Model)",0.156,0.657
"Bus Turnaround Time (Slow 900mV 0C Model)",5.465,--
"Core (Slow 900mV 0C Model)",0.385,0.217
"Core Recovery/Removal (Slow 900mV 0C Model)",0.403,0.446
"Read Capture (Slow 900mV 0C Model)",0.294,0.246
"Read Resync (Slow 900mV 0C Model)",3.029,5.56
"Write (Slow 900mV 0C Model)",0.187,0.187
"Write Leveling tDQSS (Slow 900mV 0C Model)",0.571,0.571
"Write Leveling tDSS/tDSH (Slow 900mV 0C Model)",0.624,0.624
"Address Command (Fast 900mV 0C Model)",0.126,0.839
"Bus Turnaround Time (Fast 900mV 0C Model)",5.518,--
"Core (Fast 900mV 0C Model)",0.532,0.093
"Core Recovery/Removal (Fast 900mV 0C Model)",1.753,0.251
"Read Capture (Fast 900mV 0C Model)",0.325,0.277
"Read Resync (Fast 900mV 0C Model)",3.623,6.161
"Write (Fast 900mV 0C Model)",0.157,0.157
"Write Leveling tDQSS (Fast 900mV 0C Model)",0.571,0.571
"Write Leveling tDSS/tDSH (Fast 900mV 0C Model)",0.624,0.624
